Artist,Track,Album,Album_type,Views,Likes,Comments,Licensed,official_video,Stream,Views_state,comments_likes,stream_state
Gloria Trevi,Cinco Minutos,Una Rosa Blu,album,53094145.0,107226.0,2271.0,True,True,41744606.0,high,low and low,medium
Gloria Trevi,Dr. Psiquiatra,Que Hago Aquí?,album,14725678.0,59811.0,2759.0,False,False,52608089.0,high,low and low,medium
Gloria Trevi,Hijoepu*#,Diosa De La Noche,album,139245633.0,958393.0,24588.0,True,True,40969564.0,high,high and high,medium
Keith Urban,Brown Eyes Baby,Brown Eyes Baby,single,175424.0,3374.0,660.0,False,True,16008346.0,low,low and low,low
Keith Urban,Somebody Like You,Golden Road,album,32310912.0,184911.0,6144.0,True,True,181326414.0,high,high and high,high
Keith Urban,One Too Many,THE SPEED OF NOW Part 1,album,43538459.0,292795.0,7702.0,True,True,172787052.0,high,high and high,high
Keith Urban,Blue Ain't Your Color,Ripcord,album,364955470.0,1491329.0,33831.0,True,True,256456321.0,high,high and high,high
Keith Urban,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),album,3877425.0,114176.0,4901.0,True,True,46419774.0,low,low and high,medium
Keith Urban,The Fighter,Ripcord,album,114590004.0,481906.0,13714.0,True,True,157497695.0,high,high and high,high
Keith Urban,Throw It Back (feat. Keith Urban),Cross Country,album,4980582.0,46132.0,1700.0,True,True,44716225.0,low,low and low,medium
Keith Urban,Wild Hearts,Wild Hearts,single,2088917.0,21741.0,2551.0,True,True,28610163.0,low,low and low,medium
Keith Urban,Street Called Main,Street Called Main,single,467502.0,6202.0,1641.0,True,True,3112771.0,low,low and low,low
Keith Urban,Long Hot Summer,Get Closer (Deluxe Version),album,19833539.0,79459.0,3398.0,True,True,68356274.0,high,low and high,medium
Xavier Wulf,First Light,Blood Shore Season 3,album,172750.0,10052.0,535.0,False,True,15785492.0,low,low and low,low
Xavier Wulf,Psycho Pass,Blood Shore Season 2,album,10256470.0,208438.0,5544.0,False,False,109901131.0,low,high and high,medium
Xavier Wulf,Kid Cudi - Remix,Kid Cudi (Remix),single,429853.0,9900.0,33.0,True,True,66218320.0,low,low and low,medium
Xavier Wulf,Whiplash'd,Whiplash'd,single,978437.0,33111.0,1266.0,False,False,23316351.0,low,low and low,medium
Xavier Wulf,Akina Speed Star,Project X,album,4185021.0,54338.0,1065.0,False,False,53517776.0,low,low and low,medium
Xavier Wulf,Hollow Be They Squad,Tundra Boy Season One,album,2875552.0,30315.0,784.0,False,False,18987524.0,low,low and low,medium
Xavier Wulf,Mobile Suit Woe,Blood Shore Season 2,album,2826446.0,32229.0,876.0,False,False,26544895.0,low,low and low,medium
Xavier Wulf,Thunder Man,Blood Shore Season 2,album,10592684.0,146972.0,3299.0,False,False,45682966.0,low,high and low,medium
Xavier Wulf,Still Will,Blood Shore Season 3,album,225200.0,6568.0,404.0,False,False,2544855.0,low,low and low,low
Xavier Wulf,Nightshift,Blood Shore Season 3,album,11005.0,387.0,35.0,False,False,2839201.0,low,low and low,low
Dhanush,Vaa Vaathi,Vaathi,single,32520437.0,444018.0,9381.0,True,True,14532274.0,high,high and high,low
Dhanush,Megham Karukatha,Thiruchitrambalam (Original Motion Picture Soundtrack),album,101384490.0,948326.0,11377.0,True,True,61474197.0,high,high and high,medium
Dhanush,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Mayakkama Kalakkama (From ""Thiruchitrambalam"")",single,19763978.0,234312.0,2095.0,True,True,32529869.0,high,high and low,medium
Dhanush,Rait Zara Si,Atrangi Re,album,82725468.0,794392.0,11694.0,True,True,85746449.0,high,high and high,medium
Dhanush,Raanjhanaa,Raanjhanaa (Original Motion Picture Soundtrack),album,73120376.0,599214.0,12944.0,True,True,52826792.0,high,high and high,medium
Dhanush,"Thaai Kelavi (From ""Thiruchitrambalam"")","Thaai Kelavi (From ""Thiruchitrambalam"")",single,93382398.0,601977.0,6625.0,False,False,33299853.0,high,high and high,medium
Dhanush,Idhazhin Oram - The Innocence of Love,3 (Original Motion Picture Soundtrack),album,85915735.0,653476.0,10588.0,True,True,42951258.0,high,high and high,medium
Dhanush,Nee Paartha Vizhigal - The Touch of Love,3 (Original Motion Picture Soundtrack),album,47006868.0,408128.0,9401.0,True,True,39707841.0,high,high and high,medium
Dhanush,Po Nee Po - The Pain of Love,3 (Original Motion Picture Soundtrack),album,26668462.0,275973.0,8674.0,True,True,33854361.0,high,high and high,medium
Dhanush,Pirai Thedum,Mayakkam Enna,single,8854112.0,92423.0,1534.0,True,True,26570846.0,low,low and low,medium
ZZ Top,La Grange - 2005 Remaster,Tres Hombres (Expanded 2006 Remaster),album,63427753.0,363268.0,5440.0,True,True,442465848.0,high,high and high,high
ZZ Top,Sharp Dressed Man - 2008 Remaster,Eliminator,album,60407828.0,362249.0,8704.0,True,True,335679325.0,high,high and high,high
ZZ Top,Gimme All Your Lovin',Eliminator,album,150592415.0,619399.0,12372.0,True,True,188562184.0,high,high and high,high
ZZ Top,Tush - 2006 Remaster,Fandango! (Expanded 2006 Remaster),album,9638042.0,116151.0,155.0,True,True,124321552.0,low,low and low,medium
ZZ Top,Legs - 2008 Remaster,Eliminator,album,32041383.0,136234.0,5517.0,True,True,66168260.0,high,high and high,medium
ZZ Top,Rough Boy,Afterburner,album,19112585.0,106781.0,3998.0,True,True,42719911.0,high,low and high,medium
ZZ Top,Just Got Paid,Rio Grande Mud,album,49520437.0,295509.0,8214.0,True,True,22628267.0,high,high and high,medium
ZZ Top,Got Me Under Pressure - 2008 Remaster,Eliminator,album,6406678.0,36484.0,1066.0,True,True,20270547.0,low,low and low,medium
ZZ Top,Waitin' for the Bus - 2006 Remaster,Tres Hombres (Expanded 2006 Remaster),album,1952898.0,26100.0,101.0,True,True,15125996.0,low,low and low,low
ZZ Top,Jesus Just Left Chicago - 2006 Remaster,Tres Hombres (Expanded 2006 Remaster),album,3648915.0,45545.0,169.0,True,True,21702666.0,low,low and low,medium
TOOL,Schism,Lateralus,album,45484337.0,340669.0,13497.0,True,True,102043318.0,high,high and high,medium
TOOL,The Pot,"10,000 Days",album,35072600.0,201853.0,8751.0,True,True,92803931.0,high,high and high,medium
TOOL,Sober,Undertow,album,48632483.0,365294.0,11410.0,True,True,87821039.0,high,high and high,medium
TOOL,Forty Six & 2,Ænima,album,33538500.0,194296.0,8523.0,True,True,79198844.0,high,high and high,medium
